","
""" buena cara."","
""" más desengaños."","
"""un dulce."","
"""ese hueso."","
""" oídos sordos."","
""" todo son pulgas."","
""" de todo le pasa."","
""" Dios le ayuda."","
""" más le viene."","
""" rey puesto."","
""" ganancia de pescadores."","
""" menos a no comer."","
"""el que se está hundiendo."","
""" aguas mil."","
""" desafortunado en amores."","
","
","
""" mañana traidor."","
""" se le va la liebre."","
""" pan"","" y al vino"","" vino.""
,"" todo se le vuelven pulgas."","
""" San Pedro se la bendiga."","
""" que se rasque."","
"""para que me entiendas."","
"""cuando la bendicen."","
"""no dura porque no lo es."","
"""con amor se paga."","
"""los más queridos."","
"""ríase la gente."","
""" la más tetuda."","
""" consúltalo con la almohada."","
""" prometer."","
"""al cojo."","
""" año de bienes."","
""" maestro de nada."","
""" y en el camino nos encontraremos."","
""" alcánzalo todo."","
"""mona se queda."","
""" a la cazuela."","
"""nunca muere."","
"""lo que bien acaba."","
"""quien bien vive."","
""" surco derecho."","
""" ande o no ande."","
"""su tiempo."","
"""con su tema."","
"""su librillo."","
"""a su olivo."","
"""dos caras."","
"""con su pareja."","
"""aguante su vela."","
"""como le va en ella."","
""" y Dios en la de todos."","
"""su cruz."","
"""dónde le aprieta el zapato."","
"""por sus obras."","
"""lo que se merece."","
""" que algo queda."","
""" mala es de guardar."","
"""amansarás."","
""" parió la abuela."","
""" se muere."","
""" recogerás."","
""" nace el cariño."","
""" mató mi padre un cochino."","
"""basta."","
"""se llega a todas partes."","
"""se olvidan las memorias."","
""" se anda el camino."","
""" y para mí no tengo."","
""" pan y cebolla."","
""" la virtud de no dar."","
""" no hay arte alguna."","
""" no tiene reposo."","
""" todo es empezar."","
"""que todos son de su condición."","
"""y échate a dormir."","
"""y te sacarán los ojos."","
""" mata moscas con el rabo."","
""" los ratones bailan."","
""" hace un frío del carajo."","
""" agua lleva."","
""" pon las tuyas a remojar."","
""" salta la liebre."","
""" otra se abre."","
""" más se quiere."","
""" más pellejo."","
"""mataron al asno."","
""" culo deseo."","
"""al que no tiene muelas."","
""" y dime tonto."","
""" y llegarás a palacio."","
""" vienen estos lodos."","
""" buen vinagre."","
"""el ser rabilargo."","
""" no se puede sacar."","
""" quien de tu casa te echará."","
"""están las sepulturas llenas."","
""" no pasa dinero."","
"""también se vive."","
"""nace la luz."","
""" llena la cesta."","
""" ni la mitad te creas."","
"""se cría."","
""" que de los enemigos me guardo yo."","
""" no te mojes la barriga."","
"""nacen los avisados."","
""" pero de mi dinero
 no."","
"""pardos."","
""" al río."","
""" tal vino."","
""" tal astilla."","
"""en la viña del Señor."","
""" mi casa llena."","
","
""" que de la brava me libraré yo."","
"""un paso."","
""" todos hacen leña."","
"""un buen trecho."","
"""cuanto más lejos más seguro."","
"""  de la tierra
 el cordero."","
""" el consejo."","
""" todos calvos."","
"""hacen amigos."","
""" menos sentida."","
""" afortunado en amores."","
"""para vestir otro."","
""" desnudo me hallo: ni pierdo ni gano."","
""" cada uno dice su parecer."","
""" viene la calma."","
"""el diablo."","
""" mengua la noche y crece el día."","
""" vísperas de nada."","
"""hecho."","
"""se pierden amistades."","
"""y te diré quien eres."","
"""y te diré de que careces."","
"""dinero."","
"""no ahoga."","
"""ellos se juntan."","
"""vencerás."","
""" digo Diego."","
""" haz lo que vieres."","
""" da asco."","
""" no manda marinero."","
"""las toman."","
""" la cabeza tiene poco que decir."","
"""salta la liebre."","
""" donde va la gente."","
""" tres es multitud."","
""" si uno no quiere."","
""" se vuelven de la misma condición."","
"""ciego."","
""" cuanto más tiene
 más quiere."","
""" el mal volando."","
"""corta por lo sano."","
"""en el arca se vende."","
"""en frasco pequeño."","
""" bien se lame."","
""" casa quiere."","
""" todo es empezar."","
"""hace caballero."","
"""justifica los medios."","
"""el más apetecido."","
""" del agua fría huye."","
"""al monje."","
"""agudiza el ingenio."","
""" muy mala consejera."","
"""tropieza dos veces en la misma piedra."","
""" y Dios dispone."","
""" cuanto más feo"","" más hermoso."""
""" a los tres días hiede."","
"""no es terminado."","
""" sobre el difunto."","
""" no es de creer."","
"""echa un borrón."","
"""memorioso."","
""" al bollo."","
"""un pañuelo."","
""" que ayune."","
"""engorda el caballo."","
""" ni come ni deja comer al amo."","
"""se come al chico."","
""" no se hace."","
""" buena sombra le cobija."","
""" a hierro muere."","
"""en la cara le cae."","
""" algo le cuesta."","
"""no es traidor."","
"""halla."","
""" otorga."","
""" desespera."","
""" que tire la primera piedra."","
"""perdió su silla."","
""" siempre tiene."","
""" la consigue."","
""" pronto para."","
""" mucho yerra."","
""" poco da."","
""" no mama."","
""" que no vaya a la era."","
""" es porque no quiere."","
""" no come."","
""" se queda con la mejor parte."","
""" pega dos veces."","
"""que se moje el culo."","
""" ríe mejor."","
""" paga."","
""" se acusa."","
""" ajos come."","
""" cosecha tempestades."","
""" se equivoca."","
"""se bautiza."","
""" ni tiene tío ni tiene ná."","
""" retuvo."","
""" que arree."","
""" sirve a muchos señores."","
"""no ocupa lugar."","
""" el ignorante siempre quiere enseñar."","
"""oro."","
"""lo dirá."","
"""no se recupera."","
"""a cada uno en su sitio."","
"""todo lo cura."","
"""no entran moscas."","
""" cuchillo de palo."","
""" dura poco la alegría."","
""" el tuerto es el rey."","
"""la sombra el perro."","
""" todo vale."","
"""está el peligro."","
"""está el gusto."","
""" ni te cases ni te embarques."","
"""no hay amigos."","
"""habas."","
"""a Dios y otra al diablo."","
""" lechuga."","
""" un notario y dos testigos."","
"""ella sola se murió."","
"""el que no las haya."","
"""ser agradecidos."","
"""que desborda el vaso."","
"""la enfermedad."","
"""barre bien."","
"""buen caldo."","
""" algo tiene en la garganta."","
"""no caza ratones."","
""" del agua fría huye."","
""" hasta la sepultura."","
""" se llena la bota."","
"""por bueno."","
""" por la puerta asoma."","
"""se entiende la gente."","
"""dijo mu."","
"""se va aprendiendo."","
""" no es hambre pura."","
"""no te quites el sayo."","
""" todo es toro."","
"""longanizas."","
"""no mires a quien."","
""" madre sin amor."","
""" vale por dos."","
""" mañana por mí."","
"""para caer en las brasas."","
""" volver trasquilado."","
""" pájaro muerto."","
""" yo me lo guiso y yo me lo como."","
""" casa perdida."","
"""es bella."","
"""causa olvido."","
"""rompe el saco."","
"""siempre tira al monte."","
"""el espejo del alma."","
"""empieza por uno mismo."","
"""se arruina por la cocina."","
"""hace ley."","
"""mató al gato."","
""" poco vinagre y bien aceitada."","
"""lo último que se pierde"","
"""confirma la regla."","
"""la madre de la ciencia."","
"""mueve montañas."","
"""más huevos pone que la mía."","
"""poco dura."","
"""no excusa su cumplimiento."","
"""lo que vale."","
"""y la vejez la prudencia."","
""" pero corta lo más grueso."","
"""con sangre entra."","
""" para mí lo ancho y para ti lo agudo."","
"""pierde a su compañía."","
"""la que queda por decir."","
""" el apetito."","
""" además de ser honesta debe parecerlo."","" """
""" lo pueden todo."","
"""al hombre de tino."","
"""amansa las fieras."","
"""la pintan calva."","
"""plata y el silencio es oro."","
""" nunca torna."","
"""la que más cacarea."","
"""todo lo alcanza."","
"""la sangre altera."","
"""va por dentro."","
"""supera la ficción."","
"""la ira quebranta."","
""" cuanto más lejos
 mejor."","
""" la bonita la desea."","
"""echada."","
"""la fuerza."","
"""un plato que se sirve frío."","
"""amarga."","
"""un camino de rosas."","
"""que llora y repica."","
"""engañan."","
""" cuanto más lejos mejor."","
"""odiosas."","
"""van despacio."","
""" y el chocolate espeso."","
"""vienen solas."","
""" las hijas perezosas."","
"""vuelan."","
""" y lo escrito permanece."","
"""oyen."","
"""buenas."","
""" libro perdido."","
"""caro."","
""" bien parece."","
"""poco dura."","
""" si breve
 dos veces bueno."","
"""por lo servido."","
"""lo valiente."","
""" rara vez pagado."","
""" ni agradecido ni pagado."","
"""deuda."","
""" a otros sana."","
""" bien acaba."","
""" a la mañana parece."","
""" la vida te lo enseñará."","
"""no incomoda."","
""" mucho cuesta."","
""" déjalo cocer."","
""" engorda."","
""" nunca se acaba."","
""" aparece por los rincones."","
"""en suspiros."","
""" a mí poco me dura."","
""" poco se aprecia."","
""" siempre dura."","
"""sonará."","
"""mis amigos."","
"""en balde."","
"""no dejan ver el bosque."","
"""malos consejeros."","
""" son menos."","
""" pero cuando se van."","
"""que pasarlos pronto."","
"""las verdades."","
"""se ven mejor desde la barrera."","
"""se lavan en casa."","
""" consuelo de tontos."","
"""otro día."","
""" ¿qué esperáis?"","
""" corazón caliente."","
"""no tiene reposo."","
"""mayo florido y hermoso."","
"""el que puede."","
"""que cien letrados."","
"""por diablo."","
"""ser gracioso."","
"""mal acompañado."","
"""en botica."","
"""rondar un año."","
"""lo bueno por conocer."","
"""fuerza."","
"""ciento volando."","
"""curar."","
"""borrico."","
"""nunca."","
"""desear."","
"""ciego."","
"""un buen pleito."","
"""dos."","
"""recibir."","
"""pocas nueces."","
""" pocos los escogidos."","
""" se acabó la rabia."","
"""lo que no tiene."","
"""profeta en su tierra."","
"""en cabeza ajena."","
"""truena."","
"""donde no le llamen."","
"""piedras a su tejado."","
""" ni sirvas a quien sirvió."","
""" ni están todos los que son."","
"""calvo."","
"""ve su joroba."","
"""parecerlo."","
"""un gallinero."","
"""el fin de la victoria."","
"""que esté madura."","
"""tiempo perdido."","
"""con quien paces."","
